period_code,period_label,period_type,geography_code,geography_label,observation,measure,unit,seasonal_adjustment
2020-02-17,2020-02-17,day,K02000001,United Kingdom,94.25,Aggregate UK spending on credit and debit cards,number,NSA
2020-02-18,2020-02-18,day,K02000001,United Kingdom,96.44,Aggregate UK spending on credit and debit cards,number,NSA
2020-02-19,2020-02-19,day,K02000001,United Kingdom,97.35,Aggregate UK spending on credit and debit cards,number,NSA
2020-02-20,2020-02-20,day,K02000001,United Kingdom,97.45,Aggregate UK spending on credit and debit cards,number,NSA
2020-02-21,2020-02-21,day,K02000001,United Kingdom,97.46,Aggregate UK spending on credit and debit cards,number,NSA
2020-02-24,2020-02-24,day,K02000001,United Kingdom,99.24,Aggregate UK spending on credit and debit cards,number,NSA
2020-02-25,2020-02-25,day,K02000001,United Kingdom,96.89,Aggregate UK spending on credit and debit cards,number,NSA
2020-02-26,2020-02-26,day,K02000001,United Kingdom,95.91,Aggregate UK spending on credit and debit cards,number,NSA
2020-02-27,2020-02-27,day,K02000001,United Kingdom,95.28,Aggregate UK spending on credit and debit cards,number,NSA
2020-02-28,2020-02-28,day,K02000001,United Kingdom,95.21,Aggregate UK spending on credit and debit cards,number,NSA
2020-03-02,2020-03-02,day,K02000001,United Kingdom,100.02,Aggregate UK spending on credit and debit cards,number,NSA
2020-03-03,2020-03-03,day,K02000001,United Kingdom,101.12,Aggregate UK spending on credit and debit cards,number,NSA
2020-03-04,2020-03-04,day,K02000001,United Kingdom,102.16,Aggregate UK spending on credit and debit cards,number,NSA
2020-03-05,2020-03-05,day,K02000001,United Kingdom,103.01,Aggregate UK spending on credit and debit cards,number,NSA
2020-03-06,2020-03-06,day,K02000001,United Kingdom,103.41,Aggregate UK spending on credit and debit cards,number,NSA
2020-03-09,2020-03-09,day,K02000001,United Kingdom,100.68,Aggregate UK spending on credit and debit cards,number,NSA
2020-03-10,2020-03-10,day,K02000001,United Kingdom,100.22,Aggregate UK spending on credit and debit cards,number,NSA
2020-03-11,2020-03-11,day,K02000001,United Kingdom,99.76,Aggregate UK spending on credit and debit cards,number,NSA
2020-03-12,2020-03-12,day,K02000001,United Kingdom,99.28,Aggregate UK spending on credit and debit cards,number,NSA
2020-03-13,2020-03-13,day,K02000001,United Kingdom,98.89,Aggregate UK spending on credit and debit cards,number,NSA
2020-03-16,2020-03-16,day,K02000001,United Kingdom,96.83,Aggregate UK spending on credit and debit cards,number,NSA
2020-03-17,2020-03-17,day,K02000001,United Kingdom,96.64,Aggregate UK spending on credit and debit cards,number,NSA
2020-03-18,2020-03-18,day,K02000001,United Kingdom,96.46,Aggregate UK spending on credit and debit cards,number,NSA
2020-03-19,2020-03-19,day,K02000001,United Kingdom,95.26,Aggregate UK spending on credit and debit cards,number,NSA
2020-03-20,2020-03-20,day,K02000001,United Kingdom,93.78,Aggregate UK spending on credit and debit cards,number,NSA
2020-03-23,2020-03-23,day,K02000001,United Kingdom,78.28,Aggregate UK spending on credit and debit cards,number,NSA
2020-03-24,2020-03-24,day,K02000001,United Kingdom,74.0,Aggregate UK spending on credit and debit cards,number,NSA
2020-03-25,2020-03-25,day,K02000001,United Kingdom,67.69,Aggregate UK spending on credit and debit cards,number,NSA
2020-03-26,2020-03-26,day,K02000001,United Kingdom,62.6,Aggregate UK spending on credit and debit cards,number,NSA
2020-03-27,2020-03-27,day,K02000001,United Kingdom,57.47,Aggregate UK spending on credit and debit cards,number,NSA
2020-03-30,2020-03-30,day,K02000001,United Kingdom,47.36,Aggregate UK spending on credit and debit cards,number,NSA
2020-03-31,2020-03-31,day,K02000001,United Kingdom,47.45,Aggregate UK spending on credit and debit cards,number,NSA
2020-04-01,2020-04-01,day,K02000001,United Kingdom,48.83,Aggregate UK spending on credit and debit cards,number,NSA
2020-04-02,2020-04-02,day,K02000001,United Kingdom,49.92,Aggregate UK spending on credit and debit cards,number,NSA
2020-04-03,2020-04-03,day,K02000001,United Kingdom,50.59,Aggregate UK spending on credit and debit cards,number,NSA
2020-04-06,2020-04-06,day,K02000001,United Kingdom,52.52,Aggregate UK spending on credit and debit cards,number,NSA
2020-04-07,2020-04-07,day,K02000001,United Kingdom,51.76,Aggregate UK spending on credit and debit cards,number,NSA
2020-04-08,2020-04-08,day,K02000001,United Kingdom,51.35,Aggregate UK spending on credit and debit cards,number,NSA
2020-04-09,2020-04-09,day,K02000001,United Kingdom,51.85,Aggregate UK spending on credit and debit cards,number,NSA
2020-04-14,2020-04-14,day,K02000001,United Kingdom,48.95,Aggregate UK spending on credit and debit cards,number,NSA
2020-04-15,2020-04-15,day,K02000001,United Kingdom,50.16,Aggregate UK spending on credit and debit cards,number,NSA
2020-04-16,2020-04-16,day,K02000001,United Kingdom,49.51,Aggregate UK spending on credit and debit cards,number,NSA
2020-04-17,2020-04-17,day,K02000001,United Kingdom,50.48,Aggregate UK spending on credit and debit cards,number,NSA
2020-04-20,2020-04-20,day,K02000001,United Kingdom,50.46,Aggregate UK spending on credit and debit cards,number,NSA
2020-04-21,2020-04-21,day,K02000001,United Kingdom,53.7,Aggregate UK spending on credit and debit cards,number,NSA
2020-04-22,2020-04-22,day,K02000001,United Kingdom,53.01,Aggregate UK spending on credit and debit cards,number,NSA
2020-04-23,2020-04-23,day,K02000001,United Kingdom,53.41,Aggregate UK spending on credit and debit cards,number,NSA
2020-04-24,2020-04-24,day,K02000001,United Kingdom,53.87,Aggregate UK spending on credit and debit cards,number,NSA
2020-04-27,2020-04-27,day,K02000001,United Kingdom,56.42,Aggregate UK spending on credit and debit cards,number,NSA
2020-04-28,2020-04-28,day,K02000001,United Kingdom,56.91,Aggregate UK spending on credit and debit cards,number,NSA
2020-04-29,2020-04-29,day,K02000001,United Kingdom,57.6,Aggregate UK spending on credit and debit cards,number,NSA
2020-04-30,2020-04-30,day,K02000001,United Kingdom,58.33,Aggregate UK spending on credit and debit cards,number,NSA
2020-05-01,2020-05-01,day,K02000001,United Kingdom,59.69,Aggregate UK spending on credit and debit cards,number,NSA
2020-05-04,2020-05-04,day,K02000001,United Kingdom,60.27,Aggregate UK spending on credit and debit cards,number,NSA
2020-05-05,2020-05-05,day,K02000001,United Kingdom,61.49,Aggregate UK spending on credit and debit cards,number,NSA
2020-05-06,2020-05-06,day,K02000001,United Kingdom,61.61,Aggregate UK spending on credit and debit cards,number,NSA
2020-05-07,2020-05-07,day,K02000001,United Kingdom,61.89,Aggregate UK spending on credit and debit cards,number,NSA
2020-05-11,2020-05-11,day,K02000001,United Kingdom,60.31,Aggregate UK spending on credit and debit cards,number,NSA
2020-05-12,2020-05-12,day,K02000001,United Kingdom,60.03,Aggregate UK spending on credit and debit cards,number,NSA
2020-05-13,2020-05-13,day,K02000001,United Kingdom,59.65,Aggregate UK spending on credit and debit cards,number,NSA
2020-05-14,2020-05-14,day,K02000001,United Kingdom,59.45,Aggregate UK spending on credit and debit cards,number,NSA
2020-05-15,2020-05-15,day,K02000001,United Kingdom,60.22,Aggregate UK spending on credit and debit cards,number,NSA
2020-05-18,2020-05-18,day,K02000001,United Kingdom,61.9,Aggregate UK spending on credit and debit cards,number,NSA
2020-05-19,2020-05-19,day,K02000001,United Kingdom,61.49,Aggregate UK spending on credit and debit cards,number,NSA
2020-05-20,2020-05-20,day,K02000001,United Kingdom,62.17,Aggregate UK spending on credit and debit cards,number,NSA
2020-05-21,2020-05-21,day,K02000001,United Kingdom,62.7,Aggregate UK spending on credit and debit cards,number,NSA
2020-05-22,2020-05-22,day,K02000001,United Kingdom,63.46,Aggregate UK spending on credit and debit cards,number,NSA
2020-05-26,2020-05-26,day,K02000001,United Kingdom,64.77,Aggregate UK spending on credit and debit cards,number,NSA
2020-05-27,2020-05-27,day,K02000001,United Kingdom,66.01,Aggregate UK spending on credit and debit cards,number,NSA
2020-05-28,2020-05-28,day,K02000001,United Kingdom,66.05,Aggregate UK spending on credit and debit cards,number,NSA
2020-05-29,2020-05-29,day,K02000001,United Kingdom,66.69,Aggregate UK spending on credit and debit cards,number,NSA
2020-06-01,2020-06-01,day,K02000001,United Kingdom,67.89,Aggregate UK spending on credit and debit cards,number,NSA
2020-06-02,2020-06-02,day,K02000001,United Kingdom,71.27,Aggregate UK spending on credit and debit cards,number,NSA
2020-06-03,2020-06-03,day,K02000001,United Kingdom,71.02,Aggregate UK spending on credit and debit cards,number,NSA
2020-06-04,2020-06-04,day,K02000001,United Kingdom,71.23,Aggregate UK spending on credit and debit cards,number,NSA
2020-06-05,2020-06-05,day,K02000001,United Kingdom,70.89,Aggregate UK spending on credit and debit cards,number,NSA
2020-06-08,2020-06-08,day,K02000001,United Kingdom,72.03,Aggregate UK spending on credit and debit cards,number,NSA
2020-06-09,2020-06-09,day,K02000001,United Kingdom,71.14,Aggregate UK spending on credit and debit cards,number,NSA
2020-06-10,2020-06-10,day,K02000001,United Kingdom,70.63,Aggregate UK spending on credit and debit cards,number,NSA
2020-06-11,2020-06-11,day,K02000001,United Kingdom,71.39,Aggregate UK spending on credit and debit cards,number,NSA
2020-06-12,2020-06-12,day,K02000001,United Kingdom,71.28,Aggregate UK spending on credit and debit cards,number,NSA
2020-06-15,2020-06-15,day,K02000001,United Kingdom,70.8,Aggregate UK spending on credit and debit cards,number,NSA
2020-06-16,2020-06-16,day,K02000001,United Kingdom,71.88,Aggregate UK spending on credit and debit cards,number,NSA
2020-06-17,2020-06-17,day,K02000001,United Kingdom,72.8,Aggregate UK spending on credit and debit cards,number,NSA
2020-06-18,2020-06-18,day,K02000001,United Kingdom,73.3,Aggregate UK spending on credit and debit cards,number,NSA
2020-06-19,2020-06-19,day,K02000001,United Kingdom,74.32,Aggregate UK spending on credit and debit cards,number,NSA
2020-06-22,2020-06-22,day,K02000001,United Kingdom,78.08,Aggregate UK spending on credit and debit cards,number,NSA
2020-06-23,2020-06-23,day,K02000001,United Kingdom,77.99,Aggregate UK spending on credit and debit cards,number,NSA
2020-06-24,2020-06-24,day,K02000001,United Kingdom,78.26,Aggregate UK spending on credit and debit cards,number,NSA
2020-06-25,2020-06-25,day,K02000001,United Kingdom,76.73,Aggregate UK spending on credit and debit cards,number,NSA
2020-06-26,2020-06-26,day,K02000001,United Kingdom,78.91,Aggregate UK spending on credit and debit cards,number,NSA
2020-06-29,2020-06-29,day,K02000001,United Kingdom,81.34,Aggregate UK spending on credit and debit cards,number,NSA
2020-06-30,2020-06-30,day,K02000001,United Kingdom,82.05,Aggregate UK spending on credit and debit cards,number,NSA
2020-07-01,2020-07-01,day,K02000001,United Kingdom,82.97,Aggregate UK spending on credit and debit cards,number,NSA
2020-07-02,2020-07-02,day,K02000001,United Kingdom,84.87,Aggregate UK spending on credit and debit cards,number,NSA
2020-07-03,2020-07-03,day,K02000001,United Kingdom,83.7,Aggregate UK spending on credit and debit cards,number,NSA
2020-07-06,2020-07-06,day,K02000001,United Kingdom,83.03,Aggregate UK spending on credit and debit cards,number,NSA
2020-07-07,2020-07-07,day,K02000001,United Kingdom,82.99,Aggregate UK spending on credit and debit cards,number,NSA
2020-07-08,2020-07-08,day,K02000001,United Kingdom,82.46,Aggregate UK spending on credit and debit cards,number,NSA
2020-07-09,2020-07-09,day,K02000001,United Kingdom,82.47,Aggregate UK spending on credit and debit cards,number,NSA
2020-07-10,2020-07-10,day,K02000001,United Kingdom,81.71,Aggregate UK spending on credit and debit cards,number,NSA
2020-07-13,2020-07-13,day,K02000001,United Kingdom,80.42,Aggregate UK spending on credit and debit cards,number,NSA
2020-07-14,2020-07-14,day,K02000001,United Kingdom,80.18,Aggregate UK spending on credit and debit cards,number,NSA
2020-07-15,2020-07-15,day,K02000001,United Kingdom,79.98,Aggregate UK spending on credit and debit cards,number,NSA
2020-07-16,2020-07-16,day,K02000001,United Kingdom,79.89,Aggregate UK spending on credit and debit cards,number,NSA
2020-07-17,2020-07-17,day,K02000001,United Kingdom,79.87,Aggregate UK spending on credit and debit cards,number,NSA
2020-07-20,2020-07-20,day,K02000001,United Kingdom,79.15,Aggregate UK spending on credit and debit cards,number,NSA
2020-07-21,2020-07-21,day,K02000001,United Kingdom,78.43,Aggregate UK spending on credit and debit cards,number,NSA
2020-07-22,2020-07-22,day,K02000001,United Kingdom,77.37,Aggregate UK spending on credit and debit cards,number,NSA
2020-07-23,2020-07-23,day,K02000001,United Kingdom,75.87,Aggregate UK spending on credit and debit cards,number,NSA
2020-07-24,2020-07-24,day,K02000001,United Kingdom,76.99,Aggregate UK spending on credit and debit cards,number,NSA
2020-07-27,2020-07-27,day,K02000001,United Kingdom,78.38,Aggregate UK spending on credit and debit cards,number,NSA
2020-07-28,2020-07-28,day,K02000001,United Kingdom,79.78,Aggregate UK spending on credit and debit cards,number,NSA
2020-07-29,2020-07-29,day,K02000001,United Kingdom,81.53,Aggregate UK spending on credit and debit cards,number,NSA
2020-07-30,2020-07-30,day,K02000001,United Kingdom,83.67,Aggregate UK spending on credit and debit cards,number,NSA
2020-07-31,2020-07-31,day,K02000001,United Kingdom,83.96,Aggregate UK spending on credit and debit cards,number,NSA
2020-08-03,2020-08-03,day,K02000001,United Kingdom,86.96,Aggregate UK spending on credit and debit cards,number,NSA
2020-08-04,2020-08-04,day,K02000001,United Kingdom,87.29,Aggregate UK spending on credit and debit cards,number,NSA
2020-08-05,2020-08-05,day,K02000001,United Kingdom,86.91,Aggregate UK spending on credit and debit cards,number,NSA
2020-08-06,2020-08-06,day,K02000001,United Kingdom,86.93,Aggregate UK spending on credit and debit cards,number,NSA
2020-08-07,2020-08-07,day,K02000001,United Kingdom,86.75,Aggregate UK spending on credit and debit cards,number,NSA
2020-08-10,2020-08-10,day,K02000001,United Kingdom,84.0,Aggregate UK spending on credit and debit cards,number,NSA
2020-08-11,2020-08-11,day,K02000001,United Kingdom,83.41,Aggregate UK spending on credit and debit cards,number,NSA
2020-08-12,2020-08-12,day,K02000001,United Kingdom,83.25,Aggregate UK spending on credit and debit cards,number,NSA
2020-08-13,2020-08-13,day,K02000001,United Kingdom,82.28,Aggregate UK spending on credit and debit cards,number,NSA
2020-08-14,2020-08-14,day,K02000001,United Kingdom,82.17,Aggregate UK spending on credit and debit cards,number,NSA
2020-08-17,2020-08-17,day,K02000001,United Kingdom,83.22,Aggregate UK spending on credit and debit cards,number,NSA
2020-08-18,2020-08-18,day,K02000001,United Kingdom,83.27,Aggregate UK spending on credit and debit cards,number,NSA
2020-08-19,2020-08-19,day,K02000001,United Kingdom,83.53,Aggregate UK spending on credit and debit cards,number,NSA
2020-08-20,2020-08-20,day,K02000001,United Kingdom,83.85,Aggregate UK spending on credit and debit cards,number,NSA
2020-08-21,2020-08-21,day,K02000001,United Kingdom,83.34,Aggregate UK spending on credit and debit cards,number,NSA
2020-08-24,2020-08-24,day,K02000001,United Kingdom,84.62,Aggregate UK spending on credit and debit cards,number,NSA
2020-08-25,2020-08-25,day,K02000001,United Kingdom,84.99,Aggregate UK spending on credit and debit cards,number,NSA
2020-08-26,2020-08-26,day,K02000001,United Kingdom,84.2,Aggregate UK spending on credit and debit cards,number,NSA
2020-08-27,2020-08-27,day,K02000001,United Kingdom,86.31,Aggregate UK spending on credit and debit cards,number,NSA
2020-08-28,2020-08-28,day,K02000001,United Kingdom,87.84,Aggregate UK spending on credit and debit cards,number,NSA
2020-09-01,2020-09-01,day,K02000001,United Kingdom,92.0,Aggregate UK spending on credit and debit cards,number,NSA
2020-09-02,2020-09-02,day,K02000001,United Kingdom,95.58,Aggregate UK spending on credit and debit cards,number,NSA
2020-09-03,2020-09-03,day,K02000001,United Kingdom,94.43,Aggregate UK spending on credit and debit cards,number,NSA
2020-09-04,2020-09-04,day,K02000001,United Kingdom,93.5,Aggregate UK spending on credit and debit cards,number,NSA
2020-09-07,2020-09-07,day,K02000001,United Kingdom,90.79,Aggregate UK spending on credit and debit cards,number,NSA
2020-09-08,2020-09-08,day,K02000001,United Kingdom,90.09,Aggregate UK spending on credit and debit cards,number,NSA
2020-09-09,2020-09-09,day,K02000001,United Kingdom,87.0,Aggregate UK spending on credit and debit cards,number,NSA
2020-09-10,2020-09-10,day,K02000001,United Kingdom,85.95,Aggregate UK spending on credit and debit cards,number,NSA
2020-09-11,2020-09-11,day,K02000001,United Kingdom,85.34,Aggregate UK spending on credit and debit cards,number,NSA
2020-09-14,2020-09-14,day,K02000001,United Kingdom,86.48,Aggregate UK spending on credit and debit cards,number,NSA
2020-09-15,2020-09-15,day,K02000001,United Kingdom,84.13,Aggregate UK spending on credit and debit cards,number,NSA
2020-09-16,2020-09-16,day,K02000001,United Kingdom,83.88,Aggregate UK spending on credit and debit cards,number,NSA
2020-09-17,2020-09-17,day,K02000001,United Kingdom,84.24,Aggregate UK spending on credit and debit cards,number,NSA
2020-09-18,2020-09-18,day,K02000001,United Kingdom,83.02,Aggregate UK spending on credit and debit cards,number,NSA
2020-09-21,2020-09-21,day,K02000001,United Kingdom,84.92,Aggregate UK spending on credit and debit cards,number,NSA
2020-09-22,2020-09-22,day,K02000001,United Kingdom,84.28,Aggregate UK spending on credit and debit cards,number,NSA
2020-09-23,2020-09-23,day,K02000001,United Kingdom,84.73,Aggregate UK spending on credit and debit cards,number,NSA
2020-09-24,2020-09-24,day,K02000001,United Kingdom,84.27,Aggregate UK spending on credit and debit cards,number,NSA
2020-09-25,2020-09-25,day,K02000001,United Kingdom,85.51,Aggregate UK spending on credit and debit cards,number,NSA
2020-09-28,2020-09-28,day,K02000001,United Kingdom,86.26,Aggregate UK spending on credit and debit cards,number,NSA
2020-09-29,2020-09-29,day,K02000001,United Kingdom,86.91,Aggregate UK spending on credit and debit cards,number,NSA
2020-09-30,2020-09-30,day,K02000001,United Kingdom,87.14,Aggregate UK spending on credit and debit cards,number,NSA
2020-10-01,2020-10-01,day,K02000001,United Kingdom,88.68,Aggregate UK spending on credit and debit cards,number,NSA
2020-10-02,2020-10-02,day,K02000001,United Kingdom,89.53,Aggregate UK spending on credit and debit cards,number,NSA
2020-10-05,2020-10-05,day,K02000001,United Kingdom,90.12,Aggregate UK spending on credit and debit cards,number,NSA
2020-10-06,2020-10-06,day,K02000001,United Kingdom,89.43,Aggregate UK spending on credit and debit cards,number,NSA
2020-10-07,2020-10-07,day,K02000001,United Kingdom,89.85,Aggregate UK spending on credit and debit cards,number,NSA
2020-10-08,2020-10-08,day,K02000001,United Kingdom,88.67,Aggregate UK spending on credit and debit cards,number,NSA
2020-10-09,2020-10-09,day,K02000001,United Kingdom,86.61,Aggregate UK spending on credit and debit cards,number,NSA
2020-10-12,2020-10-12,day,K02000001,United Kingdom,86.0,Aggregate UK spending on credit and debit cards,number,NSA
2020-10-13,2020-10-13,day,K02000001,United Kingdom,86.13,Aggregate UK spending on credit and debit cards,number,NSA
2020-10-14,2020-10-14,day,K02000001,United Kingdom,84.95,Aggregate UK spending on credit and debit cards,number,NSA
2020-10-15,2020-10-15,day,K02000001,United Kingdom,84.91,Aggregate UK spending on credit and debit cards,number,NSA
2020-10-16,2020-10-16,day,K02000001,United Kingdom,86.01,Aggregate UK spending on credit and debit cards,number,NSA
2020-10-19,2020-10-19,day,K02000001,United Kingdom,84.54,Aggregate UK spending on credit and debit cards,number,NSA
2020-10-20,2020-10-20,day,K02000001,United Kingdom,84.57,Aggregate UK spending on credit and debit cards,number,NSA
2020-10-21,2020-10-21,day,K02000001,United Kingdom,84.58,Aggregate UK spending on credit and debit cards,number,NSA
2020-10-22,2020-10-22,day,K02000001,United Kingdom,84.31,Aggregate UK spending on credit and debit cards,number,NSA
2020-10-23,2020-10-23,day,K02000001,United Kingdom,84.57,Aggregate UK spending on credit and debit cards,number,NSA
2020-10-26,2020-10-26,day,K02000001,United Kingdom,85.17,Aggregate UK spending on credit and debit cards,number,NSA
2020-10-27,2020-10-27,day,K02000001,United Kingdom,86.21,Aggregate UK spending on credit and debit cards,number,NSA
2020-10-28,2020-10-28,day,K02000001,United Kingdom,87.27,Aggregate UK spending on credit and debit cards,number,NSA
2020-10-29,2020-10-29,day,K02000001,United Kingdom,88.48,Aggregate UK spending on credit and debit cards,number,NSA
2020-10-30,2020-10-30,day,K02000001,United Kingdom,89.26,Aggregate UK spending on credit and debit cards,number,NSA
2020-11-02,2020-11-02,day,K02000001,United Kingdom,94.64,Aggregate UK spending on credit and debit cards,number,NSA
2020-11-03,2020-11-03,day,K02000001,United Kingdom,97.19,Aggregate UK spending on credit and debit cards,number,NSA
2020-11-04,2020-11-04,day,K02000001,United Kingdom,99.17,Aggregate UK spending on credit and debit cards,number,NSA
2020-11-05,2020-11-05,day,K02000001,United Kingdom,100.83,Aggregate UK spending on credit and debit cards,number,NSA
2020-11-06,2020-11-06,day,K02000001,United Kingdom,97.46,Aggregate UK spending on credit and debit cards,number,NSA
2020-11-09,2020-11-09,day,K02000001,United Kingdom,82.81,Aggregate UK spending on credit and debit cards,number,NSA
2020-11-10,2020-11-10,day,K02000001,United Kingdom,77.51,Aggregate UK spending on credit and debit cards,number,NSA
2020-11-11,2020-11-11,day,K02000001,United Kingdom,73.09,Aggregate UK spending on credit and debit cards,number,NSA
2020-11-12,2020-11-12,day,K02000001,United Kingdom,68.88,Aggregate UK spending on credit and debit cards,number,NSA
2020-11-13,2020-11-13,day,K02000001,United Kingdom,69.72,Aggregate UK spending on credit and debit cards,number,NSA
2020-11-16,2020-11-16,day,K02000001,United Kingdom,71.99,Aggregate UK spending on credit and debit cards,number,NSA
2020-11-17,2020-11-17,day,K02000001,United Kingdom,72.47,Aggregate UK spending on credit and debit cards,number,NSA
2020-11-18,2020-11-18,day,K02000001,United Kingdom,72.83,Aggregate UK spending on credit and debit cards,number,NSA
2020-11-19,2020-11-19,day,K02000001,United Kingdom,72.79,Aggregate UK spending on credit and debit cards,number,NSA
2020-11-20,2020-11-20,day,K02000001,United Kingdom,73.25,Aggregate UK spending on credit and debit cards,number,NSA
2020-11-23,2020-11-23,day,K02000001,United Kingdom,75.68,Aggregate UK spending on credit and debit cards,number,NSA
2020-11-24,2020-11-24,day,K02000001,United Kingdom,76.28,Aggregate UK spending on credit and debit cards,number,NSA
2020-11-25,2020-11-25,day,K02000001,United Kingdom,76.96,Aggregate UK spending on credit and debit cards,number,NSA
2020-11-26,2020-11-26,day,K02000001,United Kingdom,78.35,Aggregate UK spending on credit and debit cards,number,NSA
2020-11-27,2020-11-27,day,K02000001,United Kingdom,79.84,Aggregate UK spending on credit and debit cards,number,NSA
2020-11-30,2020-11-30,day,K02000001,United Kingdom,86.33,Aggregate UK spending on credit and debit cards,number,NSA
2020-12-01,2020-12-01,day,K02000001,United Kingdom,88.82,Aggregate UK spending on credit and debit cards,number,NSA
2020-12-02,2020-12-02,day,K02000001,United Kingdom,90.13,Aggregate UK spending on credit and debit cards,number,NSA
2020-12-03,2020-12-03,day,K02000001,United Kingdom,94.14,Aggregate UK spending on credit and debit cards,number,NSA
2020-12-04,2020-12-04,day,K02000001,United Kingdom,96.26,Aggregate UK spending on credit and debit cards,number,NSA
2020-12-07,2020-12-07,day,K02000001,United Kingdom,102.25,Aggregate UK spending on credit and debit cards,number,NSA
2020-12-08,2020-12-08,day,K02000001,United Kingdom,103.41,Aggregate UK spending on credit and debit cards,number,NSA
2020-12-09,2020-12-09,day,K02000001,United Kingdom,105.6,Aggregate UK spending on credit and debit cards,number,NSA
2020-12-10,2020-12-10,day,K02000001,United Kingdom,104.19,Aggregate UK spending on credit and debit cards,number,NSA
2020-12-11,2020-12-11,day,K02000001,United Kingdom,104.23,Aggregate UK spending on credit and debit cards,number,NSA
2020-12-14,2020-12-14,day,K02000001,United Kingdom,103.26,Aggregate UK spending on credit and debit cards,number,NSA
2020-12-15,2020-12-15,day,K02000001,United Kingdom,103.42,Aggregate UK spending on credit and debit cards,number,NSA
2020-12-16,2020-12-16,day,K02000001,United Kingdom,103.97,Aggregate UK spending on credit and debit cards,number,NSA
2020-12-17,2020-12-17,day,K02000001,United Kingdom,104.13,Aggregate UK spending on credit and debit cards,number,NSA
2020-12-18,2020-12-18,day,K02000001,United Kingdom,104.61,Aggregate UK spending on credit and debit cards,number,NSA
2020-12-21,2020-12-21,day,K02000001,United Kingdom,104.96,Aggregate UK spending on credit and debit cards,number,NSA
2020-12-22,2020-12-22,day,K02000001,United Kingdom,106.99,Aggregate UK spending on credit and debit cards,number,NSA
2020-12-23,2020-12-23,day,K02000001,United Kingdom,108.83,Aggregate UK spending on credit and debit cards,number,NSA
2020-12-24,2020-12-24,day,K02000001,United Kingdom,111.11,Aggregate UK spending on credit and debit cards,number,NSA
2020-12-29,2020-12-29,day,K02000001,United Kingdom,69.12,Aggregate UK spending on credit and debit cards,number,NSA
2020-12-30,2020-12-30,day,K02000001,United Kingdom,64.42,Aggregate UK spending on credit and debit cards,number,NSA
2020-12-31,2020-12-31,day,K02000001,United Kingdom,59.47,Aggregate UK spending on credit and debit cards,number,NSA
2021-01-04,2021-01-04,day,K02000001,United Kingdom,58.51,Aggregate UK spending on credit and debit cards,number,NSA
